Time (min),Event Type,Order ID,Courier ID,Start Node,End Node,Amount ($),Urgency,Time Limit (min),Total Orders,Completed Orders,Pending Orders,In Progress,Total Revenue ($),Total Penalty ($),Timeout Orders,Avg Wait Time (min),Idle Couriers,Busy Couriers,Details
16.33,ASSIGN,14,2,2,3,82.39996720056666,10,25.0,15,1,9,5,50.05940241147829,0.0,0,5.999999999999998,0,5,"Assigned to Courier 2 (just freed up), Path: 2 -> 5 -> 3, Cost: 8"
17.66,COMPLETE,3,3,2,6,91.74960628081956,9,30.0,15,2,9,4,141.80900869229785,0.0,0,6.499999999999999,0,5,"Order completed, Revenue: $91.75"
17.66,ASSIGN,13,3,3,3,53.86229308517055,10,27.0,15,2,8,5,141.80900869229785,0.0,0,6.499999999999999,0,5,"Assigned to Courier 3 (just freed up), Path: 3, Cost: 0"
17.66,COMPLETE,13,3,3,3,53.86229308517055,10,27.0,15,3,8,4,195.6713017774684,0.0,0,5.5666666666666655,0,5,"Order completed, Revenue: $53.86"
17.66,ASSIGN,8,3,8,9,54.652600938270105,10,25.0,15,3,7,5,195.6713017774684,0.0,0,5.5666666666666655,0,5,"Assigned to Courier 3 (just freed up), Path: 8 -> 9, Cost: 4"
18.0,COMPLETE,1,1,3,2,67.48347162406415,9,24.0,15,4,7,4,263.15477340153257,0.0,0,6.174999999999999,0,5,"Order completed, Revenue: $67.48"
18.0,ASSIGN,9,1,5,1,76.38857215889394,9,27.0,15,4,6,5,263.15477340153257,0.0,0,6.174999999999999,0,5,"Assigned to Courier 1 (just freed up), Path: 5 -> 3 -> 1, Cost: 10"
19.32,COMPLETE,5,5,3,2,56.71652352284889,5,22.0,15,5,6,4,319.87129692438145,0.0,0,6.539999999999999,0,5,"Order completed, Revenue: $56.72"
19.32,ASSIGN,6,5,7,6,85.27374761033067,8,34.0,15,5,5,5,319.87129692438145,0.0,0,6.539999999999999,0,5,"Assigned to Courier 5 (just freed up), Path: 7 -> 8 -> 6, Cost: 9"
21.66,COMPLETE,8,3,8,9,54.652600938270105,10,25.0,15,6,5,4,374.52389786265155,0.0,0,7.008333333333333,0,5,"Order completed, Revenue: $54.65"
21.66,ASSIGN,10,3,7,9,83.59025986203365,8,34.0,15,6,4,5,374.52389786265155,0.0,0,7.008333333333333,0,5,"Assigned to Courier 3 (just freed up), Path: 7 -> 9, Cost: 2"
23.66,COMPLETE,10,3,7,9,83.59025986203365,8,34.0,15,7,4,4,458.1141577246852,0.0,0,7.534285714285714,0,5,"Order completed, Revenue: $83.59"
23.66,ASSIGN,15,3,5,8,37.005540301446686,8,31.0,15,7,3,5,458.1141577246852,0.0,0,7.534285714285714,0,5,"Assigned to Courier 3 (just freed up), Path: 5 -> 6 -> 8, Cost: 4"
24.33,COMPLETE,14,2,2,3,82.39996720056666,10,25.0,15,8,3,4,540.5141249252518,0.0,0,7.847499999999999,0,5,"Order completed, Revenue: $82.40"
24.33,ASSIGN,11,2,5,7,45.797346004844385,7,21.0,15,8,2,5,540.5141249252518,0.0,0,7.847499999999999,0,5,"Assigned to Courier 2 (just freed up), Path: 5 -> 4 -> 7, Cost: 9"
25.990000000000002,COMPLETE,4,4,1,9,46.771988628414945,10,21.0,15,9,2,4,587.2861135536668,0.0,0,8.642222222222223,0,5,"Order completed, Revenue: $46.77"
25.990000000000002,ASSIGN,7,4,2,2,56.12636717556938,6,30.0,15,9,1,5,587.2861135536668,0.0,0,8.642222222222223,0,5,"Assigned to Courier 4 (just freed up), Path: 2, Cost: 0"
25.990000000000002,COMPLETE,7,4,2,2,56.12636717556938,6,30.0,15,10,1,4,643.4124807292362,0.0,0,9.178999999999998,0,5,"Order completed, Revenue: $56.13"
25.990000000000002,ASSIGN,12,4,1,8,30.05919737120881,5,26.0,15,10,0,5,643.4124807292362,0.0,0,9.178999999999998,0,5,"Assigned to Courier 4 (just freed up), Path: 1 -> 3 -> 5 -> 6 -> 8, Cost: 14"
27.66,COMPLETE,15,3,5,8,37.005540301446686,8,31.0,15,11,0,4,680.4180210306829,0.0,0,9.53,0,5,"Order completed, Revenue: $37.01"
28.0,COMPLETE,9,1,5,1,76.38857215889394,9,27.0,15,12,0,3,756.8065931895768,0.0,0,10.015833333333333,1,4,"Order completed, Revenue: $76.39"
28.32,COMPLETE,6,5,7,6,85.27374761033067,8,34.0,15,13,0,2,842.0803407999075,0.0,0,10.527692307692309,2,3,"Order completed, Revenue: $85.27"
33.33,COMPLETE,11,2,5,7,45.797346004844385,7,21.0,15,14,0,1,887.8776868047519,0.0,0,11.206428571428571,3,2,"Order completed, Revenue: $45.80"
39.99,COMPLETE,12,4,1,8,30.05919737120881,5,26.0,15,15,0,0,917.9368841759607,0.0,0,12.216666666666667,4,1,"Order completed, Revenue: $30.06"
